"keyword","time","value"
"XTNT","2022-07-01",0
"XTNT","2022-07-02",0
"XTNT","2022-07-03",0
"XTNT","2022-07-04",0
"XTNT","2022-07-05",0
"XTNT","2022-07-06",0
"XTNT","2022-07-07",30
"XTNT","2022-07-08",37
"XTNT","2022-07-09",0
"XTNT","2022-07-10",0
"XTNT","2022-07-11",0
"XTNT","2022-07-12",0
"XTNT","2022-07-13",0
"XTNT","2022-07-14",20
"XTNT","2022-07-15",0
"XTNT","2022-07-16",40
"XTNT","2022-07-17",0
"XTNT","2022-07-18",0
"XTNT","2022-07-19",0
"XTNT","2022-07-20",0
"XTNT","2022-07-21",0
"XTNT","2022-07-22",0
"XTNT","2022-07-23",0
"XTNT","2022-07-24",92
"XTNT","2022-07-25",100
"XTNT","2022-07-26",0
"XTNT","2022-07-27",0
"XTNT","2022-07-28",0
"XTNT","2022-07-29",0
"XTNT","2022-07-30",0
"XTNT","2022-07-31",0
